id,listing_url,name,picture_url,latitude,longitude,accommodates,beds,price,cleaning_fee,number_of_reviews,review_scores_rating,reviews_per_month,minimum_nights
12422422,https://www.airbnb.com/rooms/12422422,One Bedroom Close to MIT (1183),https://a0.muscache.com/im/pictures/c2957480-c48f-41b4-965d-a1d0fc0b7509.jpg?aki_policy=large,42.36077,-71.09919,2,2,110,15,82,94,1.65,1
12432434,https://www.airbnb.com/rooms/12432434,2 Bed w/ Parking Two Blocks from Harvard,https://a0.muscache.com/im/pictures/231a3810-d0a3-4598-a25e-9265f409238a.jpg?aki_policy=large,42.37315,-71.11181,6,2,240,120,103,96,2.02,21
12489082,https://www.airbnb.com/rooms/12489082,Modern studio in Cambridge townhome,https://a0.muscache.com/im/pictures/2b36293c-9ab2-4ea3-a8ca-62a0434b08d8.jpg?aki_policy=large,42.36234,-71.1105,2,1,175,50,286,97,5.79,2
12507244,https://www.airbnb.com/rooms/12507244,1 Bedroom near Harvard Square Cambridge,https://a0.muscache.com/im/pictures/2ccd919c-312b-4b69-8b15-6ff33af04673.jpg?aki_policy=large,42.37298,-71.10821,2,1,130,150,3,80,0.06,91
12522168,https://www.airbnb.com/rooms/12522168,Comfortable & Private 1 bed apt,https://a0.muscache.com/im/pictures/22faa53f-1e2e-4514-8899-502a653834b0.jpg?aki_policy=large,42.37205,-71.10033,1,1,115,100,3,80,0.06,91
12532155,https://www.airbnb.com/rooms/12532155,Nice space near Harvard University 2,https://a0.muscache.com/im/pictures/f5d2cc4b-0d03-4037-aca6-87e488755d81.jpg?aki_policy=large,42.37143,-71.10732,1,1,70,0,163,95,7.04,1
12655984,https://www.airbnb.com/rooms/12655984,Spacious Harvard Sq Room,https://a0.muscache.com/im/pictures/e14f35a4-77c0-4bd7-97ae-9af13bd5af97.jpg?aki_policy=large,42.38154,-71.11499,2,1,99,30,46,97,0.92,3
12678652,https://www.airbnb.com/rooms/12678652,Spacious 3BR Apt near Harvard Sq & MIT,https://a0.muscache.com/im/pictures/a641f42e-1ce9-4e3d-8004-6a3193becdba.jpg?aki_policy=large,42.37775,-71.1497,6,2,258,90,36,98,0.71,1
12683483,https://www.airbnb.com/rooms/12683483,Newly renovated 2BR apartment near MIT,https://a0.muscache.com/im/pictures/9477bac1-ba65-4877-b78a-d87257652a05.jpg?aki_policy=large,42.36904,-71.09719,6,2,275,110,39,95,0.83,90
12694481,https://www.airbnb.com/rooms/12694481,Family-friendly place in Cambridge with park view,https://a0.muscache.com/im/pictures/ac8ff9a1-ceaa-4956-ad5f-1db9f0394e71.jpg?aki_policy=large,42.38694,-71.12839,3,2,150,60,0,0,0,91
12733997,https://www.airbnb.com/rooms/12733997,"Central Square Luxury Hi-Rise, With a View",https://a0.muscache.com/im/pictures/35e88486-f51b-4d4a-be2f-45dc747503f3.jpg?aki_policy=large,42.35988,-71.10098,2,1,179,0,57,99,1.14,30
12810652,https://www.airbnb.com/rooms/12810652,Very close to Boston MIT Harvard MGH and subway,https://a0.muscache.com/im/pictures/f13a0a7f-351e-4b18-8520-4bc489ee1d4f.jpg?aki_policy=large,42.37185,-71.0836,1,1,90,19,100,92,2.03,2
12827666,https://www.airbnb.com/rooms/12827666,2 bedrooms 2.5 bath furnished apts Harvard  - MIT,https://a0.muscache.com/im/pictures/69520145-726e-49dd-b96d-4e23a9c8a04a.jpg?aki_policy=large,42.36991,-71.10747,4,2,150,150,3,87,0.08,91
12871772,https://www.airbnb.com/rooms/12871772,Convenient Harvard Room,https://a0.muscache.com/im/pictures/f8488bdd-6443-49da-aad4-54afade19ab9.jpg?aki_policy=large,42.38157,-71.11542,2,1,83,30,43,95,0.91,91
12903091,https://www.airbnb.com/rooms/12903091,Comfortable Sunny Room in Cambridge,https://a0.muscache.com/im/pictures/f70ccd5b-7b75-4af8-8445-87e61fa0c8d6.jpg?aki_policy=large,42.38058,-71.15278,1,1,75,50,18,93,0.48,30
