id,listing_url,name,picture_url,latitude,longitude,accommodates,beds,price,cleaning_fee,number_of_reviews,review_scores_rating,reviews_per_month,minimum_nights
1220971,https://www.airbnb.com/rooms/1220971,Boston Huge 1BR Best location (h2b),https://a0.muscache.com/im/pictures/538371de-baa3-4df1-9bc9-abc8f2ce6109.jpg?aki_policy=large,42.36598,-71.0528,5,2,149,95,145,93,1.86,28
1222327,https://www.airbnb.com/rooms/1222327,"Cozy, 2 bdr,  2 baths, house near medical area!",https://a0.muscache.com/im/pictures/18935716/e7db279c_original.jpg?aki_policy=large,42.32473,-71.10792,4,2,121,75,15,99,0.24,5
1240598,https://www.airbnb.com/rooms/1240598,"Studio by Tufts Medical, door knobs wiped daily",https://a0.muscache.com/im/pictures/71374380/989bac73_original.jpg?aki_policy=large,42.35257,-71.0636,2,1,95,120,171,79,2.01,10
1252489,https://www.airbnb.com/rooms/1252489,Beacon Hill 1-Bed,https://a0.muscache.com/im/pictures/25fe3d73-dbe6-4517-b404-29043dec2544.jpg?aki_policy=large,42.36105,-71.06593,2,1,200,50,65,98,0.76,91
1275498,https://www.airbnb.com/rooms/1275498,Parlor Delight,https://a0.muscache.com/im/pictures/509fb943-d2fa-40db-bfec-a4f285ffd7ff.jpg?aki_policy=large,42.34294,-71.07304,2,1,190,151,46,96,0.55,3
1303261,https://www.airbnb.com/rooms/1303261,Historic Beacon Hill,https://a0.muscache.com/im/pictures/19767925/d159e1a4_original.jpg?aki_policy=large,42.3588,-71.06972,2,2,425,55,23,89,0.28,91
1321422,https://www.airbnb.com/rooms/1321422,Barney's Master Bedroom T Downtown,https://a0.muscache.com/im/pictures/23519403/48331f6e_original.jpg?aki_policy=large,42.30907,-71.04674,4,3,76,25,580,97,6.9,1
1327725,https://www.airbnb.com/rooms/1327725,Modern 2 BR in Brighton with Parking,https://a0.muscache.com/im/pictures/aa034aa6-45db-4937-81ef-05164868a321.jpg?aki_policy=large,42.346,-71.1399,4,2,147,75,254,94,3.02,3
1332786,https://www.airbnb.com/rooms/1332786,Cozy One Person Only - Quick Downtown,https://a0.muscache.com/im/pictures/23534323/d69a7e67_original.jpg?aki_policy=large,42.30901,-71.04672,1,1,47,23,430,98,5.12,1
1340649,https://www.airbnb.com/rooms/1340649,1BR in Charming South Boston Condo/Red Line/Beach,https://a0.muscache.com/im/pictures/ab39516c-3bc8-4993-af07-c8093d30011b.jpg?aki_policy=large,42.32825,-71.05704,1,1,66,0,31,96,0.45,91
1374434,https://www.airbnb.com/rooms/1374434,"Authentic Boston, cozy room",https://a0.muscache.com/im/pictures/0a5b3c8a-6524-483d-8375-31a60594229f.jpg?aki_policy=large,42.32546,-71.08894,1,1,65,0,41,96,0.5,28
1374466,https://www.airbnb.com/rooms/1374466,"Real Boston, off the beaten track",https://a0.muscache.com/im/pictures/35286514/06f7e0ef_original.jpg?aki_policy=large,42.32546,-71.08894,1,1,67,0,38,97,0.48,28
1403408,https://www.airbnb.com/rooms/1403408,Big Boston room,https://a0.muscache.com/im/pictures/bde19083-5885-4b33-8e9e-f4cff4755af8.jpg?aki_policy=large,42.32546,-71.08894,1,1,70,0,18,100,0.22,28
1425973,https://www.airbnb.com/rooms/1425973,Historic brick Victorian row house ,https://a0.muscache.com/im/pictures/22010625/3df276dc_original.jpg?aki_policy=large,42.33937,-71.08026,6,4,350,0,25,94,0.31,91
1445064,https://www.airbnb.com/rooms/1445064,Bright Sunlit bedroom near Spaulding/Downtown,https://a0.muscache.com/im/pictures/22175517/62b99022_original.jpg?aki_policy=large,42.38017,-71.06236,1,1,68,50,104,94,1.26,28
1454258,https://www.airbnb.com/rooms/1454258,Inviting Queen Anne Victorian,https://a0.muscache.com/im/pictures/21582370/f47fba1f_original.jpg?aki_policy=large,42.30844,-71.0464,2,1,80,0,311,98,3.73,1
1472481,https://www.airbnb.com/rooms/1472481,John and Robert's Harbor View,https://a0.muscache.com/im/pictures/32617472/8b3b80a9_original.jpg?aki_policy=large,42.30901,-71.04672,3,3,75,25,564,97,6.86,1
1472520,https://www.airbnb.com/rooms/1472520,Andrea's Private Bath T Downtown,https://a0.muscache.com/im/pictures/23535135/6a8f0f2e_original.jpg?aki_policy=large,42.30856,-71.04646,3,2,83,25,599,97,7.23,1
1510876,https://www.airbnb.com/rooms/1510876,Room with Sleeper Sofa Bed,https://a0.muscache.com/im/pictures/22219753/a7f276a1_original.jpg?aki_policy=large,42.31019,-71.04829,1,1,60,10,45,98,0.54,1
1541166,https://www.airbnb.com/rooms/1541166,Beautiful Studio 15 min to Downtown,https://a0.muscache.com/im/pictures/6dfb6568-527a-45ac-b106-2f92944eef51.jpg?aki_policy=large,42.38159,-71.07892,2,1,109,50,39,98,0.48,2
1544144,https://www.airbnb.com/rooms/1544144,Charming Historic Home in Charlestown,https://a0.muscache.com/im/pictures/22588296/e1fa3b92_original.jpg?aki_policy=large,42.37203,-71.06165,4,3,350,200,13,98,0.51,3
1544702,https://www.airbnb.com/rooms/1544702,Mary's Ocean View Metro Downtown,https://a0.muscache.com/im/pictures/32617232/4cc8ce62_original.jpg?aki_policy=large,42.30901,-71.04672,3,2,77,25,576,98,7.01,1
1545185,https://www.airbnb.com/rooms/1545185,"Large 1 Bed, Kitchen & Bath w/ Off Street Parking",https://a0.muscache.com/im/pictures/27186838/0ed93c4d_original.jpg?aki_policy=large,42.3484,-71.15696,4,2,140,100,123,91,1.51,2
1584362,https://www.airbnb.com/rooms/1584362,Grace's Harborview Fast T Downtown,https://a0.muscache.com/im/pictures/32617818/1a82221c_original.jpg?aki_policy=large,42.30976,-71.04742,3,2,63,25,615,98,7.54,1
1596470,https://www.airbnb.com/rooms/1596470,3-story Luxury in Central Location,https://a0.muscache.com/im/pictures/a0c29b4f-e394-489e-af40-5498a5b426ce.jpg?aki_policy=large,42.34988,-71.06918,7,3,175,250,139,100,1.7,28
1596664,https://www.airbnb.com/rooms/1596664,"Fort Hill Top - 2Bk Private room,  brick townhouse",https://a0.muscache.com/im/pictures/b5433c9d-5d43-4162-93d5-e79bd1038315.jpg?aki_policy=large,42.3256,-71.09413,1,1,78,0,20,96,0.75,30
1644031,https://www.airbnb.com/rooms/1644031,Large Private bedroom by Seaport,https://a0.muscache.com/im/pictures/fa635a48-d068-4d3d-b53f-6087eb90cbce.jpg?aki_policy=large,42.34017,-71.04763,2,1,100,35,259,96,4.96,1
1668313,https://www.airbnb.com/rooms/1668313,Room in Rozzie-Twin Bed-Full Bath,https://a0.muscache.com/im/pictures/23914014/87097158_original.jpg?aki_policy=large,42.28194,-71.13337,1,1,53,40,36,96,0.45,28
